# Korean Keyword Mappings
# Format: KOREAN|ENGLISH (first 4 chars)

# Common keywords (always available)
이름|name
무장|arma
문글로우|moon
문명|civi
문신|tatt
문장|blaz
물|wate
물건|stuf
물고기|fish
물질|subs
미녹|mino
미덕|virt
미드|mead
미래|futu
미망인|wido
미치게|mad
미친|mad
밀|whea
밀가루|flou
바구니|bask
바느질|sew
바다|sea
바란다|wish
바람|wind
바보짓|tomf
바쁘지|busy
바지|pant
박물관|muse
반복|repe
반환|retu
발|feet
발카데쉬|valk
밤|nigh
밧줄|rope
방|room
방랑|wand
방문객|visi
방직공|weav
방패|shie
배|ship
배낭|back
배움|lear
백성|peop
뱀|serp
버추어스|virt
번역|tran
벌|bees
벌통|hive
범버슈트|bumb
법정|cour
베이빈|beyv
베틀|loom
벨|tren
벨렘|beh 
벨트|belt
벽|wall
벽난로|fire
변장|disg
별|star
병|bott
병자|unfi
보내|go
보더마치|bord
보물|trea
보물고|trea
보석|gems
보여줄|show
본|bonn
부끄러워요|emba
부도|budo
부두|dock
부분적인|part
부채|fan
부탁|favo
부활|resu
분배|spli
분수|foun
불명예|dish
브리|brie
브리타니아|brit
브리튼|brit
브리티시|brit
블랙손|blac
비둘기|dove
비명|scre
비밀|secr
비스킷|bisc
비행|flyi
빛|glow
빨강머리|red
빵|brea
뼈|bone
뿌리|root
뿔나팔|horn
사람|peop
사랑|love
사리|spri
사막|dese
사악한|evil
사원|temp
사이먼|simo
사회|soci
삭구질|rigg
산맥|moun
살|buy
사|buy
살인|murd
살해|murd
살해당한|kill
삼촌|uncl
삽|shov
상상력|imag
상자|ches
새|bird
샌디|sand
생각|idea
생물|crea
생소한|unfa
샤미노|sham
샤오|xiao
샬롯|char
서비스|serv
서쪽|west
서판|tabl
석궁살|bolt
석상|stat
선원|sail
선택지|choi
설계도|plan
섬|isla
성|cast
성배|grai
성소|shri
세상|worl
세추|thec
셀가노|selg
셰리|sher
소스|sauc
소식|news
소용돌이|whir
소용돌이실|vort
소음|nois
속삭임|whis
손|hand
손님|gues
솔볼|solv
수도원|abbe
수리|repa
수선화|daff
수수께끼|ridd
수업|less
수요|dema
수정|crys
수집|gath
수텍|sute
수확|harv
숙박|lodg
술|drin
술마시기|drin
숫자|numb
숲|wood
쉴|rest
스미스|smit
스승|mast
스쿼크|squi
스타헬름|star
스태그|stag
스테파니|step
스테프|step
스톤게이트|ston
스티비우스|stiv
슬픔|grie
습격자|raid
시|poem
시간|time
시계|cloc
시끄러워요|loud
시끄럽지|loud
시약|reag
시장님|your
식량|rati
식물|plan
신념|beli
신들|thin
신뢰|trus
신발|shoe
신브랄|sin'
실|thre
실수|foll
실크|silk
실험|expe
심술쟁이|wick
씨름|wres
아내|wife
아르베스|arbe
아르테갈|arta
아르투로스|artu
아름다운|beau
아리아나|aria
아무도|no m
아뮬렛|amul
아바타|avat
아버지|fath
아서|arth
아이|kids
악몽|nigh
안내|guid
안드레아|andr
안드레아스|andr
안식|rest
안토니오|anto
알|egg
알려져|know
애슈탈라레아|asht
애완동물|pets
앤|ann
앤디|andy
야아아옹|purr
양|shee
양고기|mutt
양모|wool
양봉업자|beek
어머니|moth
언니|sist
언어|lang
언어를|spea
업무|busi
에너지|ener
에일|ale
에페메리데스|ephe
엔릭|enri
엘라드|elad
엘리자베스|elis
엠파이어|empi
여관|inn
여덟|eigh
여동생|sist
여자|girl
여행|trav
여행자|trav
역사|hist
연구|stud
연금술|alch
연금술사|alch
연주|play
연회|banq
열기구|ball
열두|twel
열쇠|key
열정|pass
영적인|spir
영혼|soul
영혼의|spir
예언|prop
예언자|prop
오리|duck
오즈|oz
올랐고|boar
옷|clot
와인|wine
완다|wand
완두콩|pea
왈츠|walt
왕|king
왼손|left
요들러|yode
요리|cook
요리사|cook
욜|yorl
용|drag
용기|cour
용맹한|valo
용병|merc
용암|lava
우드러프|wood
우리|we
우유|milk
우토모|utom
운명|fate
운문|rhym
운세|fort
울림|ring
원칙|prin
원한|debt
웨이브레드|wayb
위스프|wisp
위안|comf
유|yew
유리|glas
유행|fash
유혹|temp
육분의|sext
육체|bodi
은신처|lair
은퇴|reti
음식|food
음악|musi
음악가|musi
음유시인|bard
음표|note
의미|mean
이끌지|lead
이사가|move
이상한|stra
이야기|stor
이올로|iolo
인도|lead
인묘|were
임무|miss
입방체|cube
입양|adop
자기|self
자루|bags
자른|cut
자애|comp
자유|free
자유롭게|free
작물|crop
잠|slee
잠겨|lock
잠들|slee
잠자는|slee
잡담|bant
잡을|catc
장갑|glov
장례식|fune
장막|fiel
장미|rose
장인|arti
재능|tale
재단사|tail
재료|ingr
재미|fun
재봉사|seam
재상|chan
재앙|disa
저글러|jugg
저기요|hey 
전당|hall
전사|figh
전시물|exhi
전쟁|wars
전통|trad
전투|batt
점술가|fort
정보|info
정성껏|care
정신|mind
정원|gard
정의|just
정직|hone
정직한|hone
제리스|jerr
제빵사|bake
제자|appr
제정신|sane
제품|ware
제프리|geof
젤롬|jhel
젤리반|zell
조그|zog
조금|neap
조련사|char
조롱|jeer
조리법|reci
조사관|inqu
조석|tida
조수|tide
조언|advi
조용한|priv
족제비|weas
존|john
졸탄|zolt
종|bell
종류|kind
죄수|pris
주게|give
주문|spel
주문서|book
주점|tave
주정뱅이|alco
주조|mint
죽여|kill
죽였는지|kill
죽은|dead
죽을|die
죽이자|kill
준다면|give
줄리아|juli
쥐|rat
즐거움|plea
즐겁게|fun
지금|now
지능|inte
지도|guid
지도력|lead
지도자|lead
지위|posi
지진|eart
지크|zeke
지팡이|stav
지하|unde
지하실|base
지혜|wits
지휘|capt
전문직|prof
직인|jour
직함|titl
진실|trut
진짜|true
질긴|toug
질문|ques
질서|orde
짐승|beas
집|home
집시|gyps
짜고|milk
째깍거림|tick
찍|sque
차|tea
찬장|cupb
창|spea
책|book
처녀|dams
처클스|chuc
천|clot
체스|ches
추악한|ugly
축배|liba
춤|danc
춤추며|danc
취미|hobb
치료|heal
치유|heal
치즈|chee
친구|frie
침몰|scut
카도르|kado
카드|card
카라돈|cara
카리나|kari
칼브밀히|kalb
컬럼|culh
케네스|kenn
케이크|cake
코|nose
코너|cono
코덱스|code
코라나다|kora
코브|cove
콘서트|conc
퀘스트|ques
퀜|quen
퀜턴|quen
크릴|kril
키스|kiss
키틴|kyty
타라|tara
타리안드|thar
타인|othe
타임|tyme
탄약|ammu
태양계의|orre
테이니스|tayn
토바사|toba
톨든|thol
톱니바퀴|gear
통|keg
통제|cont
투명|invi
투셰|touc
튜닉|tuni
트린식|trin
특이점|sing
티모시|timo
파렌|fare
파이|pie
파지요|dig 
파파|papa
판매|sell
판자|boar
팔|sell
팔고|sell
팬파이프|panp
퍼즐|puzz
페넘브라|penu
페이스트리|past
페트로프|petr
펜스|penc
펜싱|fenc
펜트리사|fent
편자|shoe
평민|comm
폐하|maje
포도|grap
포도덩굴|vine
포도밭|vine
포즈|paws
폭스|fox
폭풍우|stor
표기법|nota
푸시미|push
풀유|pull
프로젝트|proj
플리핏|flip
피블릭|fibl
피어|peer
핀|finn
필다르|pild
필요|need
하고|play
하마|hipp
하수도|sewe
하인드|gold
할머니|mema
함께|join
함께하자|join
합류|join
항복|surr
항해|sail
해|year
해답|answ
해독|cure
해안|coas
해안가|seas
해적|pira
햄|ham
햇살|sunn
행로|path
허락|perm
헨들|hend
형틀|stoc
호구조사|cens
호란스|hora
호킨스|hawk
혼령|haun
화살|arro
화약통|powd
환란|trou
활보|pran
횃불|torc
후추|pepp
훔쳐|stol
휘트세이버|whit
흔들리기|shak
흙|dirt
희생|sacr
휴식|rest
힌트|hint
힘|powe
양털|wool
깎기|shor
로브|robe
순환|circ
대지|eart
플레이|play
어|yes
응|yes
ㅛ|yes
노|no
ㅜ|no
드러머|drummer
# 수정된 키워드
소형배|skif
지하묘지|cata
캣|cat
꼬마|tiny
자애룬|rune
음악학교|cons
방향|dire
희귀품|oddi
조작|mani
볼트|bolt
지하세계|unde
뛰놀라|frol
망자|dead
정직만트라|mant
꿈나라|slum
유리제품|glas
유리세공사|glas
용감한|cour
기구조종사|ball
조선공|ship
뱀조련사|snak
건물|hous
무릎꿇고|knee
무기장인|weap
매조련사|falc
크기|size
마법사평의회|wiza
다른이들|othe
장님|blin
네번째|four
길드어|lang
관측기구|inst
현실|waki
건조|Dry
뉴|New
트리헌|Trihu
작은|Tiny
떨어져|fell
평의회|Coun
뉴마진시아|New
아픈이|sick
부상|woun
환자|infl

# 추가 키워드
기운|spir
민요|song
범선|mast
복수|veng
삶|life
순찰|patr
악마|daem
패배|lose
평화|peac
푸른|blue

# 중복 방지용 키워드 (tale/talk/cellar/chat/task/duties/forest/snake/boat/jape/joke/sing/road)
설화|tale
대화|talk
저장고|cell
수다|chat
할일|task
직무|duti
삼림|fore
독사|snak
보트|boat
익살|jape
우스개|joke
노래하기|sing
도로|road

# 복합 한글 키워드 (공백 없이 붙여쓴 것)
이올로활|iolo
정직의성소|shri
정직의룬|rune
검과통|pub
정의의룬|rune
희생의룬|rune
아이버회랑|iver
날개없는자|wing
사자휴버트|hube
겸손의신전|shri
씨없는포도|seed
지식의전당|hall
특이점의사원|temp
닥터캣|cat
죽은자|dead
말도안되는구려|absu
옴두야프|omdu
린|lynn
