# Item descriptions - Korean translation
# Format: INDEX|ENGLISH|KOREAN

252|sack of flour|밀가루 자루
253|remains|유해
254|rubber ducky|고무 오리
255|Urn of Ashes|재 항아리
256|fumarole|분기공
257|spikes|가시
258|trap|함정
259|switch|스위치
260|electric field|전기장
261|chest of drawers|서랍장
262|desk|책상
263|bucket|양동이
264|bucket of water|물 양동이
265|bucket of milk|우유 양동이
266|churn|버터 통
267|beehive|벌통
268|honey jar|꿀단지
269|jar of honey|꿀단지
270|cloth|천
271|open barrel|열린 통
272|sealed barrel|밀봉된 통
273|jug|주전자
274|bag|가방
275|cask|작은 통
276|bale of wool|양모 뭉치
277|basket|바구니
278|open crate|열린 상자
279|crate|상자
280|small jug|작은 주전자
281|milk bottle|우유병
282|wheat|밀
283|vat|큰 통
284|wine cask|와인 통
285|cutting table|절단대
286|loom|베틀
287|hood|두건
288|fire|불
289|horseshoes|말굽쇠
290|pliers|펜치
291|hammer|망치
292|water trough|물통
293|brazier|화로
294|flaming brazier|타오르는 화로
295|holy brazier|성스러운 화로
296|rod|막대
297|hook|갈고리
298|meat|고기
299|ribs|갈비
300|dead animal|죽은 동물
301|fan|부채
302|mouse hole|쥐구멍
303|wine press|포도 압착기
304|stable|마구간
305|bookshelf|책장
306|anvil|모루
307|bellows|풀무
308|oven|오븐
309|flag|깃발
310|cannon|대포
311|cannon balls|포탄
312|powder keg|화약통
313|lit powder|점화된 화약
314|foot rail|발판
315|spool of thread|실 꾸러미
316|spool of silk|비단 꾸러미
317|pennant|페넌트
318|table|탁자
319|shadow|그림자
320|table|탁자
321|shadow|그림자
322|spittoon|타구
323|well|우물
324|fountain|분수
325|sundial|해시계
326|bell|종
327|table|탁자
328|shadow|그림자
329|table|탁자
330|shadow|그림자
331|silk cloth|비단
332|Rune of Honesty|정직의 룬
333|Rune of Compassion|자비의 룬
334|Rune of Valor|용기의 룬
335|Rune of Justice|정의의 룬
336|Rune of Sacrifice|희생의 룬
337|Rune of Honor|명예의 룬
338|Rune of Spirituality|영성의 룬
339|Rune of Humility|겸손의 룬
340|table|탁자
341|shadow|그림자
342|chair|의자
343|campfire|모닥불
344|cross|십자가
345|tombstone|묘비
346|protection ring|보호의 반지
347|regeneration ring|재생의 반지
348|invisibility ring|투명의 반지
349|table leg|탁자 다리
350|shadow|그림자
351|table leg|탁자 다리
352|shadow|그림자
353|stocks|족쇄
354|person in stocks|족쇄에 갇힌 사람
355|fishing pole|낚싯대
356|fish|물고기
357|grave|무덤
358|guillotine|단두대
359|lever|레버
360|drawbridge|도개교
361|balloon plans|기구 설계도
362|doorsill|문턱
363|doorway|출입구
364|steps|계단
365|tile|타일
366|yew log|주목 통나무
367|blue potion|파란 물약
368|red potion|빨간 물약
369|yellow potion|노란 물약
370|green potion|초록 물약
371|orange potion|주황 물약
372|purple potion|보라 물약
373|black potion|검은 물약
374|white potion|흰 물약
375|steps|계단
376|yew board|주목 널판
377|passthrough|통로
378|table|탁자
379|passthrough|통로
380|fence|울타리
381|bars|철창
382|anchor|닻
383|rope|밧줄
384|pole|기둥
385|walkway|보도
386|water wheel|물레방아
387|crank|크랭크
388|log saw|통나무 톱
389|mill stone|맷돌
390|shaft|축
391|gearwork|톱니바퀴
392|chain|사슬
393|lightsource|광원
394|heatsource|열원
395|xylophone|실로폰
396|oaken door|참나무 문
397|windowed door|창문 달린 문
398|cedar door|삼나무 문
399|steel door|철문
400|doorway|출입구
401|archway|아치형 통로
402|carpet|양탄자
403|cookfire|조리용 불
404|logs|통나무
405|cookfire|조리용 불
406|logs|통나무
407|cookfire|조리용 불
408|ladder|사다리
409|trellis|격자
410|volcano|화산
411|crater|분화구
412|hole|구멍
413|bones|뼈
414|portcullis|격자문
415|stone table|돌 탁자
416|stone lion|돌 사자
417|silver horn|은나팔
418|floor|바닥
419|stone|돌
420|lamppost|가로등
421|fire field|불의 장
422|poison field|독의 장
423|protection field|보호의 장
424|sleep field|수면의 장
425|statue|조각상
426|guardian|수호자
427|pool|연못
428|monolith|모노리스
429|pillar|기둥
430|book stand|독서대
431|mine shaft|광산 갱도
432|dungeon|던전
433|cave|동굴
434|throne|왕좌
435|altar|제단
436|Altar of singularity|특이점의 제단
437|altar of singularity|특이점의 제단
438|mat|매트
439|government sign|관청 표지판
440|food shop|식품점
441|guild|길드
442|shipwright|조선소
443|armoury|무기점
444|fletcher|화살 제조소
445|herbalist|약초상
446|textile shop|직물점
447|healer|치료사
448|blacksmith|대장간
449|inn|여관
450|sign|표지판
451|signpost|표지판
452|sign|표지판
453|gargoyle sign|가고일 표지판
454|sign|표지판
455|secret door|비밀문
456|egg|알
457|charge|충전
458|effect|효과
459|blood|피
460|dead body|시체
461|pile of bones|뼈 무더기
462|dead cyclops|죽은 사이클롭스
463|dead gargoyle|죽은 가고일
464|giant rat|거대 쥐
465|insects|곤충
466|giant bat|거대 박쥐
467|giant squid|거대 오징어
468|sea serpent|바다뱀
469|reaper|리퍼
470|sheep|양
471|dog|개
472|deer|사슴
473|wolf|늑대
474|ghost|유령
475|gremlin|그렘린
476|mouse|쥐
477|gazer|게이저
478|bird|새
479|corpser|콥서
480|snake|뱀
481|rabbit|토끼
482|rot worms|썩은 벌레
483|giant spider|거대 거미
484|gargoyle|가고일
485|acid slug|산성 슬러그
486|tangle vine|얽힌 덩굴
487|daemon|데몬
488|skeleton|해골
489|drake|드레이크
490|headless|머리없는 자
491|troll|트롤
492|mongbat|몽뱃
493|wisp|위습
494|hydra|히드라
495|slime|슬라임
496|fighter|전사
497|swashbuckler|검객
498|mage|마법사
499|villager|마을 주민
500|merchant|상인
501|child|아이
502|guard|경비병
503|jester|광대
504|peasant|농부
505|farmer|농부
506|musician|음악가
507|woman|여인
508|cat|고양이
509|silver tablet|은판
510|silver fragment|은조각
511|farmer|농부
512|musician|음악가
513|shrine|성지
514|Britannian Lens|브리타니아 렌즈
515|broken lens|깨진 렌즈
516|Gargoyle Lens|가고일 렌즈
517|Statue of Mondain|몬데인 조각상
518|Statue of Minax|미낙스 조각상
519|Statue of Exodus|엑소더스 조각상
520|part of a map|지도 조각
521|Lord British|로드 브리티시
522|Avatar|아바타
523|dragon|드래곤
524|ship|배
525|silver serpent|은뱀
526|skiff|작은 배
527|raft|뗏목
528|nothing|아무것도 없음
529|dragon egg|드래곤 알
530|hatched dragon egg|부화한 드래곤 알
531|pull chain|당기는 사슬
532|balloon|기구
533|mammoth silk bag|매머드 비단 주머니
534|balloon basket|기구 바구니
535|balloon|기구
536|cyclops|사이클롭스
537|hydra|히드라
538|giant scorpion|거대 전갈
539|giant ant|거대 개미
540|cow|소
541|alligator|악어
542|horse|말
543|horse with rider|기수가 탄 말
544|horse|말
545|horse with rider|기수가 탄 말
546|horse|말
